fecha,zona_prov,clae2,w_mean
2007-01-01,CORRIENTES,68,1150
2007-01-01,CORRIENTES,69,902
2007-01-01,CORRIENTES,70,883
2007-01-01,CORRIENTES,71,858
2007-01-01,CORRIENTES,72,659
2007-01-01,CORRIENTES,73,1172
2007-01-01,CORRIENTES,74,1065
2007-01-01,CORRIENTES,75,747
2007-01-01,CORRIENTES,77,819
2007-01-01,CORRIENTES,78,1926
2007-01-01,CORRIENTES,79,1034
2007-01-01,CORRIENTES,80,870
2007-01-01,CORRIENTES,81,863
2007-01-01,CORRIENTES,82,1118
2007-01-01,CORRIENTES,85,875
2007-01-01,CORRIENTES,86,1305
2007-01-01,CORRIENTES,87,1189
2007-01-01,CORRIENTES,88,1303
2007-01-01,CORRIENTES,90,298
2007-01-01,CORRIENTES,91,808
2007-01-01,CORRIENTES,92,2449
2007-01-01,CORRIENTES,93,1076
2007-01-01,CORRIENTES,94,1364
2007-01-01,CORRIENTES,95,814
2007-01-01,CORRIENTES,96,872
2007-01-01,CORRIENTES,999,955
2007-01-01,ENTRE RIOS,1,1014
2007-01-01,ENTRE RIOS,2,854
2007-01-01,ENTRE RIOS,3,1398
2007-01-01,ENTRE RIOS,6,7395
2007-01-01,ENTRE RIOS,8,1657
2007-01-01,ENTRE RIOS,9,961
2007-01-01,ENTRE RIOS,10,1665
2007-01-01,ENTRE RIOS,11,1835
2007-01-01,ENTRE RIOS,12,868
2007-01-01,ENTRE RIOS,13,1593
2007-01-01,ENTRE RIOS,14,923
2007-01-01,ENTRE RIOS,15,1048
2007-01-01,ENTRE RIOS,16,1425
2007-01-01,ENTRE RIOS,17,2645
2007-01-01,ENTRE RIOS,18,1208
2007-01-01,ENTRE RIOS,19,1891
2007-01-01,ENTRE RIOS,20,3375
2007-01-01,ENTRE RIOS,21,3466
2007-01-01,ENTRE RIOS,22,1527
2007-01-01,ENTRE RIOS,23,1425
2007-01-01,ENTRE RIOS,24,2300
2007-01-01,ENTRE RIOS,25,1386
2007-01-01,ENTRE RIOS,26,1160
2007-01-01,ENTRE RIOS,27,2227
2007-01-01,ENTRE RIOS,28,1170
2007-01-01,ENTRE RIOS,29,1553
2007-01-01,ENTRE RIOS,30,1219
2007-01-01,ENTRE RIOS,31,1784
2007-01-01,ENTRE RIOS,32,1307
2007-01-01,ENTRE RIOS,33,976
2007-01-01,ENTRE RIOS,35,5807
2007-01-01,ENTRE RIOS,36,1398
2007-01-01,ENTRE RIOS,37,925
2007-01-01,ENTRE RIOS,38,1065
2007-01-01,ENTRE RIOS,41,961
2007-01-01,ENTRE RIOS,42,1501
2007-01-01,ENTRE RIOS,43,1028
2007-01-01,ENTRE RIOS,45,1379
2007-01-01,ENTRE RIOS,46,1441
2007-01-01,ENTRE RIOS,47,1220
2007-01-01,ENTRE RIOS,49,1836
2007-01-01,ENTRE RIOS,50,1289
2007-01-01,ENTRE RIOS,52,1187
2007-01-01,ENTRE RIOS,53,2264
2007-01-01,ENTRE RIOS,55,3568
2007-01-01,ENTRE RIOS,56,640
2007-01-01,ENTRE RIOS,58,1493
2007-01-01,ENTRE RIOS,59,1257
2007-01-01,ENTRE RIOS,60,1782
2007-01-01,ENTRE RIOS,61,2279
2007-01-01,ENTRE RIOS,62,1202
2007-01-01,ENTRE RIOS,63,1780
2007-01-01,ENTRE RIOS,64,4263
2007-01-01,ENTRE RIOS,65,2561
2007-01-01,ENTRE RIOS,66,849
2007-01-01,ENTRE RIOS,68,1053
2007-01-01,ENTRE RIOS,69,869
2007-01-01,ENTRE RIOS,70,1134
2007-01-01,ENTRE RIOS,71,994
2007-01-01,ENTRE RIOS,72,616
2007-01-01,ENTRE RIOS,73,855
2007-01-01,ENTRE RIOS,74,1226
2007-01-01,ENTRE RIOS,75,1002
2007-01-01,ENTRE RIOS,77,2213
2007-01-01,ENTRE RIOS,78,1115
2007-01-01,ENTRE RIOS,79,1202
2007-01-01,ENTRE RIOS,80,1120
2007-01-01,ENTRE RIOS,81,715
2007-01-01,ENTRE RIOS,82,934
2007-01-01,ENTRE RIOS,85,803
2007-01-01,ENTRE RIOS,86,1506
2007-01-01,ENTRE RIOS,87,1197
2007-01-01,ENTRE RIOS,88,1398
2007-01-01,ENTRE RIOS,90,731
2007-01-01,ENTRE RIOS,91,818
2007-01-01,ENTRE RIOS,92,1243
2007-01-01,ENTRE RIOS,93,1113
2007-01-01,ENTRE RIOS,94,1372
2007-01-01,ENTRE RIOS,95,1105
2007-01-01,ENTRE RIOS,96,952
2007-01-01,ENTRE RIOS,999,2062
2007-01-01,FORMOSA,1,918
2007-01-01,FORMOSA,2,886
2007-01-01,FORMOSA,3,741
2007-01-01,FORMOSA,6,6900
2007-01-01,FORMOSA,8,2479
2007-01-01,FORMOSA,9,2553
2007-01-01,FORMOSA,10,1256
2007-01-01,FORMOSA,11,2496
2007-01-01,FORMOSA,13,956
2007-01-01,FORMOSA,14,1153
2007-01-01,FORMOSA,15,516
2007-01-01,FORMOSA,16,740
2007-01-01,FORMOSA,18,838
2007-01-01,FORMOSA,20,1554
2007-01-01,FORMOSA,21,2590
2007-01-01,FORMOSA,22,-99
2007-01-01,FORMOSA,23,844
2007-01-01,FORMOSA,25,1061
2007-01-01,FORMOSA,28,1568
2007-01-01,FORMOSA,29,-99
2007-01-01,FORMOSA,31,1202
2007-01-01,FORMOSA,32,1207
2007-01-01,FORMOSA,33,827
2007-01-01,FORMOSA,35,1394
2007-01-01,FORMOSA,36,1542
2007-01-01,FORMOSA,41,1002
2007-01-01,FORMOSA,42,1609
2007-01-01,FORMOSA,43,987
2007-01-01,FORMOSA,45,1195
2007-01-01,FORMOSA,46,1166
2007-01-01,FORMOSA,47,1178
2007-01-01,FORMOSA,49,1677
